date,ticker,price,volume
11/29/2024,MTFS,423.46,16271.92
12/2/2024,MTFS,430.98,20207.221
12/3/2024,MTFS,431.2,18301.99
12/4/2024,MTFS,437.42,26009.43
12/5/2024,MTFS,442.62,21697.779
12/6/2024,MTFS,443.57,18821
12/9/2024,MTFS,446.02,19144.391
12/10/2024,MTFS,443.33,18469.461
12/11/2024,MTFS,448.99,19200.211
12/12/2024,MTFS,449.56,20834.779
12/13/2024,MTFS,447.27,20177.83
12/16/2024,MTFS,451.59,23598.83
12/17/2024,MTFS,454.46,22733.49
12/18/2024,MTFS,437.39,24444.551
12/19/2024,MTFS,437.03,22963.68
12/20/2024,MTFS,436.6,64263.688
12/23/2024,MTFS,435.25,19152.52
12/24/2024,MTFS,439.33,7164.543
12/25/2024,MTFS,439.33,0
12/26/2024,MTFS,438.11,8199.927
12/27/2024,MTFS,430.53,18117.711
12/30/2024,MTFS,424.83,13158.7
12/31/2024,MTFS,421.5,13246.51
1/1/2025,MTFS,421.5,0
1/2/2025,MTFS,418.58,16896.471
1/3/2025,MTFS,423.35,16662.939
1/6/2025,MTFS,427.85,20573.65
1/7/2025,MTFS,422.37,18139.07
1/8/2025,MTFS,424.56,15054.58
1/9/2025,MTFS,424.56,0
1/10/2025,MTFS,418.95,20201.131
1/13/2025,MTFS,417.19,17604.779
1/14/2025,MTFS,415.67,16935.859
1/15/2025,MTFS,426.31,19637.84
1/16/2025,MTFS,424.58,15300.02
1/17/2025,MTFS,429.03,26197.51
1/20/2025,MTFS,429.03,0
1/21/2025,MTFS,428.5,26085.699
1/22/2025,MTFS,446.2,27803.811
1/23/2025,MTFS,446.71,18389.27
1/24/2025,MTFS,444.06,15549.45
1/27/2025,MTFS,434.56,35647.809
1/28/2025,MTFS,447.2,23491.699
1/29/2025,MTFS,442.33,23581.369
1/30/2025,MTFS,414.99,54586.262
1/31/2025,MTFS,415.06,34223.391
2/3/2025,MTFS,410.92,25679.15
2/4/2025,MTFS,412.37,20532.1
2/5/2025,MTFS,413.29,16336.19
2/6/2025,MTFS,415.82,16309.76
2/7/2025,MTFS,409.75,22886.84
2/10/2025,MTFS,412.22,20817.92
2/11/2025,MTFS,411.44,18140.59
2/12/2025,MTFS,409.04,19121.73
2/13/2025,MTFS,410.54,23891.73
2/14/2025,MTFS,408.43,22758.461
2/17/2025,MTFS,408.43,0
2/18/2025,MTFS,409.64,21423.051
2/19/2025,MTFS,414.77,24114.199
2/20/2025,MTFS,416.13,23508.73
2/21/2025,MTFS,408.21,27524.801
2/24/2025,MTFS,404,26443.66
2/25/2025,MTFS,397.9,29387.4
2/26/2025,MTFS,399.73,19618.949
2/27/2025,MTFS,392.53,21127.41
2/28/2025,MTFS,396.99,32845.66
3/3/2025,MTFS,388.49,23007.73
3/4/2025,MTFS,388.61,29342.92
3/5/2025,MTFS,401.02,23433.131
3/6/2025,MTFS,396.89,23304.631
3/7/2025,MTFS,393.31,22034.09
3/10/2025,MTFS,380.16,32840.129
3/11/2025,MTFS,380.45,30380.18
3/12/2025,MTFS,383.27,24253.57
3/13/2025,MTFS,378.77,20473.02
3/14/2025,MTFS,388.56,19952.85
3/17/2025,MTFS,388.7,22474.27
3/18/2025,MTFS,383.52,19486.85
3/19/2025,MTFS,387.82,19185.529
3/20/2025,MTFS,386.84,18470.539
3/21/2025,MTFS,391.26,39675.93
3/24/2025,MTFS,393.08,21004.551
3/25/2025,MTFS,395.16,15774.97
3/26/2025,MTFS,389.97,16132.91
3/27/2025,MTFS,390.58,13766.76
3/28/2025,MTFS,378.8,21632.02
3/31/2025,MTFS,375.39,35184.68
4/1/2025,MTFS,382.19,19689.5
4/2/2025,MTFS,382.14,16092.56
4/3/2025,MTFS,373.11,30198
4/4/2025,MTFS,359.84,49209.848
4/7/2025,MTFS,357.86,50425
4/8/2025,MTFS,354.56,35868.922
4/9/2025,MTFS,390.49,50199.699
4/10/2025,MTFS,381.35,38024.367
4/11/2025,MTFS,388.45,23839.221
4/14/2025,MTFS,387.81,19251.17
4/15/2025,MTFS,385.73,17199.891
4/16/2025,MTFS,371.61,21967.83
4/17/2025,MTFS,367.78,21120.189
4/18/2025,MTFS,367.78,0
4/21/2025,MTFS,359.12,20807.279
4/22/2025,MTFS,366.82,19484.99
4/23/2025,MTFS,374.39,20545.529
4/24/2025,MTFS,387.3,22232.289
4/25/2025,MTFS,391.85,18973.17
4/28/2025,MTFS,391.16,16579.43
4/29/2025,MTFS,394.04,14973.98
4/30/2025,MTFS,395.26,36461.078
5/1/2025,MTFS,425.4,58938.102
5/2/2025,MTFS,435.28,30757.43
5/5/2025,MTFS,436.17,20136.051
5/6/2025,MTFS,433.31,15104.2
5/7/2025,MTFS,433.35,23307.24
5/8/2025,MTFS,438.17,23491.33
5/9/2025,MTFS,438.73,15324.23
5/12/2025,MTFS,449.26,22821.939
5/13/2025,MTFS,449.14,23618.82
5/14/2025,MTFS,452.94,19902.801
5/15/2025,MTFS,453.13,21992.32
5/16/2025,MTFS,454.27,23849.779
5/19/2025,MTFS,458.87,21336.51
5/20/2025,MTFS,458.17,15441.81
5/21/2025,MTFS,452.57,19216.91
5/22/2025,MTFS,454.86,18025.609
5/23/2025,MTFS,450.18,16883.51
5/26/2025,MTFS,450.18,0
5/27/2025,MTFS,460.69,20974.289
5/28/2025,MTFS,457.36,17086.26
5/29/2025,MTFS,458.68,13982.21
5/30/2025,MTFS,460.36,34770.48
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1/10/2025,ASLT,394.74,62287.328
1/13/2025,ASLT,403.31,67580.484
1/14/2025,ASLT,396.36,84565.023
1/15/2025,ASLT,428.22,81375.453
1/16/2025,ASLT,413.82,68335.148
1/17/2025,ASLT,426.5,94991.43
1/20/2025,ASLT,426.5,0
1/21/2025,ASLT,424.07,87320.891
1/22/2025,ASLT,415.11,60963.34
1/23/2025,ASLT,412.38,50690.594
1/24/2025,ASLT,406.58,56427.152
1/27/2025,ASLT,397.15,58125.512
1/28/2025,ASLT,398.09,48910.68
1/29/2025,ASLT,389.1,68033.648
1/30/2025,ASLT,400.28,98092.883
1/31/2025,ASLT,404.6,83568.227
2/3/2025,ASLT,383.68,93732.117
2/4/2025,ASLT,392.21,57072.238
2/5/2025,ASLT,378.17,57614.719
2/6/2025,ASLT,374.32,77918.234
2/7/2025,ASLT,361.62,70298.258
2/10/2025,ASLT,350.73,77514.898
2/11/2025,ASLT,328.5,118543.398
2/12/2025,ASLT,336.51,105382.703
2/13/2025,ASLT,355.94,89441.523
2/14/2025,ASLT,355.84,68277.281
2/17/2025,ASLT,355.84,0
2/18/2025,ASLT,354.11,51631.699
2/19/2025,ASLT,360.56,67094.367
2/20/2025,ASLT,354.4,45965.352
2/21/2025,ASLT,337.8,74058.648
2/24/2025,ASLT,330.53,76052.32
2/25/2025,ASLT,302.8,134228.797
2/26/2025,ASLT,290.8,100118.305
2/27/2025,ASLT,281.95,101748.203
2/28/2025,ASLT,292.98,115697
3/3/2025,ASLT,284.65,115551.398
3/4/2025,ASLT,272.04,126706.602
3/5/2025,ASLT,279.1,94042.914
3/6/2025,ASLT,263.45,98451.57
3/7/2025,ASLT,262.67,102369.602
3/10/2025,ASLT,222.15,189076.891
